asn=912  	id=4   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=912  	id=4   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=912  	id=4   	App	generate a packet, seqnum=1 for=1 [PACKET_SOURCE]
asn=912  	id=4   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=912  	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=912  	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=912  	id=4   	TSCH	schedule packet [src: 4, dest: 1, seqnum: 1], channel offset=2 timeslot=3[SCHEDULER NEW]
asn=912  	id=4   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=915  	id=1   	App	rx app packet seqnum=1 from=4 at cell [ts: 3, co: 2][NODE]
asn=915  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 3 channel offset: 2 acked=true, remove packet[NODE]
asn=915  	id=4   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
